term,normalized_term,short_definition,source_titles,source_locations,extraction_confidence,also_appears_as_corpus_term,notes
acreage,acreage,"The race was to lease as much promising acreage as possible from ranchers and farmers and then begin the process of proving up the resource. All shales, it was soon learned, were not the same; some were more productive than others. One wanted to find the “sweet spots","ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations","The New Map: Energy, Climate, and the Clash of Nations:p23 | The Economics of Oil and Gas:p46 | Exxon Mobil Corporation Form 10-K (FY2025):p19 | ConocoPhillips Form 10-K (FY2025):p5 | Enterprise Products Partners L.P. Form 10-K (FY2025):p9",low,,
API gravity,api gravity,"operties of the hydrocarbons: fluidity, API gravity,8 the share of water and sulphur, etc.; • the reservoir depth and drilling costs; • post-​discovery costs: development drilling, production facilities, transpor­ tation cost and operating costs; • the water depth an",The Economics of Oil and Gas,The Economics of Oil and Gas:p79,low,G139,
arbitrage,arbitrage,"their hands. The commodity traders are arbitragers par excellence, trying to exploit a series of differences in prices. Because they’re doing deals to buy and to sell all the time, they are often indifferent to whether commodity prices overall go up or down. What matt","How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | The Economics of Oil and Gas | The World for Sale","The World for Sale:p19 | How the World Really Works:p106 | The Economics of Oil and Gas:p24 | Oil Company Crisis: Managing Structure, Profitability and Growth:p25",low,G133,
ARO,aro,"December 31, 2025, there were 20 sites around the U.S. in which we were identified as a potentially responsible party under CERCLA and comparable state laws. For most Superfund sites, our potential liability will be significantly less than the total site remedi",ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025),ConocoPhillips Form 10-K (FY2025):p3 | Enterprise Products Partners L.P. Form 10-K (FY2025):p153,high,,
Asset Retirement,asset retirement,"ES TO CONSOLIDATED FINANCIAL STATEMENTS Asset Retirement Obligations The Corporation incurs retirement obligations for certain assets. The fair values of these obligations are recorded as liabilities on a discounted basis, which is typically at the time the assets are install",ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Valero Energy Corporation Form 10-K (FY2024),Exxon Mobil Corporation Form 10-K (FY2025):p30 | ConocoPhillips Form 10-K (FY2025):p3 | Enterprise Products Partners L.P. Form 10-K (FY2025):p153 | Valero Energy Corporation Form 10-K (FY2024):p65,high,G112,
backwardation,backwardation,"the long- term price would be. But the backwardation, which the industry relied upon, was formed from assumptions about commodity prices falling off a cliff from the prevailing spot price. We delayed falling prices and assumed a slower return to the mean.’ 36 Within a fe",The Economics of Oil and Gas | The World for Sale,The World for Sale:p171 | The Economics of Oil and Gas:p255,low,,
barrel of oil equivalent,barrel oil equivalent,"FDCit represents the cost of finding a barrel of oil equivalent (proved reserves), and preparing it for production. RoACE (Rit), enterprise value (EVit) and debt-adjusted cash flow (DACFit) are defined and discussed in section 2. Our oil . Amerada Hess, BP, ConocoPhillips, Chevr",ConocoPhillips Form 10-K (FY2025) | Valuation of International Oil Companies (Osmundsen et al. 2006),Valuation of International Oil Companies (Osmundsen et al. 2006):p8 | ConocoPhillips Form 10-K (FY2025):p147,low,G300,
barrels of oil equivalent,barrels oil equivalent,"cubic feet per day of gas (or 270,000 barrels of oil equivalent per day) to produce 140,000 barrels per day of oil products. This contrasts with the production and shipping of LNG, which loses about 13 per cent energy during the liquefaction and transportation (through “boil-​off",ConocoPhillips Form 10-K (FY2025) | Oil: A Beginner's Guide | The Economics of Oil and Gas,The Economics of Oil and Gas:p186 | Oil: A Beginner's Guide:p175 | ConocoPhillips Form 10-K (FY2025):p3,low,G300,
benchmark,benchmark,"mate compact that has become the global benchmark. The focus in the pages of this book is on how the momentum of climate policies—powered by research and observation, by climate models, and by political mobilization and regulatory power, social activism, financial inst","ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024) | Valuation of International Oil Companies (Osmundsen et al. 2006)","The New Map: Energy, Climate, and the Clash of Nations:p14 | The World for Sale:p49 | The Economics of Oil and Gas:p102 | Oil: A Beginner's Guide:p40 | Oil Company Crisis: Managing Structure, Profitability and Growth:p9 | Valuation of International Oil Companies (Osmundsen et al. 2006):p1 | Exxon Mobil Corporation Form 10-K (FY2025):p10 | ConocoPhillips Form 10-K (FY2025):p19",low,G140;G157;G283,
biofuel,biofuel,"l gas—to reduce urban pollution, and to biofuels that can be made from agricultural waste.24 In Britain, the Conservative government in the midst of the painfully protracted negotiations for Brexit—its exit from the European Union— proposed a ban on the sale of new g","Energy: A Beginner's Guide | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil: A Beginner's Guide | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p300 | The World for Sale:p224 | How the World Really Works:p214 | The Economics of Oil and Gas:p19 | Oil: A Beginner's Guide:p155 | Energy: A Beginner's Guide:p175 | Exxon Mobil Corporation Form 10-K (FY2025):p41 | Valero Energy Corporation Form 10-K (FY2024):p4",low,,
