term,normalized_term,short_definition,source_titles,source_locations,extraction_confidence,also_appears_as_corpus_term,notes
annual recurring revenue,annual recurring revenue,"32, 33, 34, 55, 115 Anderson, Matt, 109 annual recurring revenue, 179–81 Antony and Cleopatra (film), 38 Apple, 13, 32, 56, 77 iPhone, 3, 21, 26, 27 service revenue growth at, 26–27 Watch, 107 AriadNEXT, 63 Arrow Electronics, 108–9 artificial intelligence, 111 assembly line, 14–15 a",Lean Analytics | Subscribed,Subscribed:~p50 | Lean Analytics:~p64,low,G25,
ARR,arr,"R, or annual recurring revenue. What is ARR? Simply put, it is the amount of revenue that you expect your subscribers to pay you every year. It is the revenue that recurs, as opposed to the revenue that gets booked only once. Every quarter, subscription businesse",Subscribed,Subscribed:~p50,low,,
artificial intelligence,artificial intelligence,"CHAOTIC PLATFORM COMPETITION Although artificial intelligence has been around for decades, one branch has made exceptional progress: machine learning (using special software algorithms to analyze and learn from data) and the subfield of deep learning (using hardware and software t",Chip War | Subscribed | The Business of Platforms,The Business of Platforms:~p8 | Subscribed:~p56 | Chip War:~p126,low,G113,
barriers to entry,barriers to entry,"5, 59–60, 249n18, 249n19 Alibaba’s, 124 barriers to entry created by, 48 digital technology impact, 50–52 generation of, 16–18 with instant messaging, 41–42 Metcalfe’s law dynamic, 35, 35f as positive feedback loops, 13, 16, 32, 59, 75 and quantum computing, 228 of telephone n",Investment Valuation (University Edition) | Lean Analytics | Platform Revolution | The Business of Platforms,The Business of Platforms:~p18 | Investment Valuation (University Edition):~p115 | Platform Revolution:~p48 | Lean Analytics:~p39,low,,
beta,beta,nded in January 2012. The company began beta testing its ride-sharing service in San Francisco the next month and launched the service publicly that June. Riders requested a ride by entering their pickup and drop-off locations through the Sidecar app on their smar,Investment Valuation (University Edition) | Lean Analytics | Platform Revolution | Subscribed | The Business of Platforms,The Business of Platforms:~p72 | Subscribed:~p1 | Investment Valuation (University Edition):~p4 | Platform Revolution:~p97 | Lean Analytics:~p1,low,G107;G148,
CAC,cac,"the U.K. Central Arbitration Committee (CAC), an independent body that adjudicates on statutory recognition and de-recognition of trade unions in relation to collective bargaining. The CAC agreed with Deliveroo’s argument that its riders were self-employed contra",Lean Analytics | The Business of Platforms,The Business of Platforms:~p123 | Lean Analytics:~p38,low,,
capex,capex,"IT buyers to shift from big, expensive capex-based installations to opex-based rental agreements. The big firms are struggling to catch up because they can see where the market is heading. Today’s innovative companies are increasingly pursuing recurring revenue–ba",Chip War | Investment Valuation (University Edition) | Lean Analytics | Subscribed,Subscribed:~p12 | Chip War:~p128 | Investment Valuation (University Edition):~p255 | Lean Analytics:~p234,low,G139,
capital expenditure,capital expenditure,"cally software companies have preferred capital expenditures (capex) for technology investments, as this afforded them the ability to take advantage of amortization and depreciation of the capital investments over a period of time. But as technology shifts to the cloud, there’s",Chip War | Investment Valuation (University Edition) | Platform Revolution | Subscribed,Subscribed:~p51 | Chip War:~p58 | Investment Valuation (University Edition):~p4 | Platform Revolution:~p58,low,G139,
Capital Structure,capital structure,"l and Firm Value Figure 15.3 Optimizing Capital Structure Mix CHAPTER 16 Figure 16.1 Returns on Investment Classes: 1991–2020 CHAPTER 17 Figure 17.1 PE Ratios—Nvidia in May 2024 Figure 17.2 PE Ratio in 2024: Average, Median, and Aggregate in May 2024 Figure 17.3 Analyzing Mult",Investment Valuation (University Edition),Investment Valuation (University Edition):~p5,low,G139,
chip design,chip design,"Carver Mead and catalyzed research into chip design software, new lithography techniques, and transistor structures. Yet DARPA and the U.S. government have found it harder than ever to shape the future of the chip industry. DARPA’s budget is a couple billion dollars per",Chip War,Chip War:~p2,low,,
churn,churn,"came from driver turnover, called the “churn rate.” This number was an estimated 12.5 percent per month, or 150 percent per year, which means that Uber had to replace all its drivers every eight months, on average. Assuming that Uber had 3 million drivers in 2018,",Chip War | Investment Valuation (University Edition) | Lean Analytics | Platform Revolution | Subscribed | The Business of Platforms,The Business of Platforms:~p52 | Subscribed:~p6 | Chip War:~p142 | Investment Valuation (University Edition):~p224 | Platform Revolution:~p138 | Lean Analytics:~p22,low,,
competitive advantage,competitive advantage,"of friction. At the same time, Amazon’s competitive advantage no longer depended on offering lower prices by avoiding sales taxes. Recent research has suggested that paying state and local taxes was not even one of the top ten considerations for not buying from Amazon.55 YOUTUBE:",Chip War | Investment Valuation (University Edition) | Lean Analytics | Platform Revolution | Subscribed | The Business of Platforms,The Business of Platforms:~p41 | Subscribed:~p61 | Chip War:~p73 | Investment Valuation (University Edition):~p11 | Platform Revolution:~p15 | Lean Analytics:~p60,low,,
contribution margin,contribution margin,"a shortcut of assuming that the current contribution margin of $15.38 a barrel will remain unchanged in present value terms over the production period. Exercise price = Estimated cost of developing reserves today = $30,380 million Time to expiration = Average length of relinquis",Investment Valuation (University Edition),Investment Valuation (University Edition):~p804,low,,
customer acquisition cost,customer acquisition cost,. They are instrumental in driving down customer acquisition costs (as more subscribers sign up) and increasing subscriber lifetime value (as more subscribers stick around for longer). Netflix knows exactly how long it takes for a subscriber to flip from unprofitable to profitable. Sp,Investment Valuation (University Edition) | Lean Analytics | Subscribed,Subscribed:~p13 | Investment Valuation (University Edition):~p224 | Lean Analytics:~p38,low,,
data center,data center,GE originally planned to build its own data centers. But the technological challenges to building an industrial cloud platform were significant: It had to be optimized for industrial applications where the stakes were much higher and mistakes much costlier. The platform,Chip War | Lean Analytics | Subscribed | The Business of Platforms,The Business of Platforms:~p38 | Subscribed:~p53 | Chip War:~p2 | Lean Analytics:~p223,low,,
DCF,dcf,"If growth is an exogenous input into a DCF model and the relationship between growth rates, reinvestment, and return on capital outlined just does not hold, you will get different values from DCF and EVA valuations. The capital invested that is used to compute E",Investment Valuation (University Edition),Investment Valuation (University Edition):~p25,low,G90,
Discounted Cash Flow,discounted cash flow,"Models There are literally thousands of discounted cash flow models in existence. Investment banks or consulting firms often claim that their valuation models are better or more sophisticated than those used by their contemporaries. Ultimately, however, discounted cash flow model",Investment Valuation (University Edition) | Platform Revolution,Investment Valuation (University Edition):~p2 | Platform Revolution:~p12,low,G90,
economies of scale,economies scale,"19–20, 121–23, 137, 186 success of, 119 economies of scale demand-side, 249n18 digital technologies and, 57 on innovation platforms, 79–80 network effects based on, 16–17 transitioning from losing money to making money, 137 See also network effects ecosystem companies overview,",Chip War | Investment Valuation (University Edition) | Platform Revolution | Subscribed | The Business of Platforms,The Business of Platforms:~p13 | Subscribed:~p117 | Chip War:~p47 | Investment Valuation (University Edition):~p181 | Platform Revolution:~p15,low,,
Enterprise Value,enterprise value,"URE 17.3 Analyzing Multiples—Equity and Enterprise Value (using Price-to-Book ratio and EV to Sales as illustrative examples) For example, to estimate the determinants of the PE ratio, start with the simplest discounted cash flow model for equity, which is a stable growth div",Investment Valuation (University Edition),Investment Valuation (University Edition):~p2,low,G25;G95,
